defined_class	defined_class_label	cell_type	cell_type_label
http://purl.obolibrary.org/obo/GO_0003167	atrioventricular bundle cell differentiation	http://purl.obolibrary.org/obo/CL_0010005	atrioventricular bundle cell
http://purl.obolibrary.org/obo/GO_0060922	atrioventricular node cell differentiation	http://purl.obolibrary.org/obo/CL_1000410	myocyte of atrioventricular node
http://purl.obolibrary.org/obo/GO_0030221	basophil differentiation	http://purl.obolibrary.org/obo/CL_0000767	basophil
http://purl.obolibrary.org/obo/GO_0060837	blood vessel endothelial cell differentiation	http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
http://purl.obolibrary.org/obo/GO_0050873	brown fat cell differentiation	http://purl.obolibrary.org/obo/CL_0000449	brown adipocyte
http://purl.obolibrary.org/obo/GO_0060219	camera-type eye photoreceptor cell differentiation	http://purl.obolibrary.org/obo/CL_0010009	camera-type eye photoreceptor cell
http://purl.obolibrary.org/obo/GO_0060946	cardiac blood vessel endothelial cell differentiation	http://purl.obolibrary.org/obo/CL_0010006	cardiac blood vessel endothelial cell
http://purl.obolibrary.org/obo/GO_0003348	cardiac endothelial cell differentiation	http://purl.obolibrary.org/obo/CL_0010008	cardiac endothelial cell
http://purl.obolibrary.org/obo/GO_0060935	cardiac fibroblast cell differentiation	http://purl.obolibrary.org/obo/CL_0002548	fibroblast of cardiac tissue
http://purl.obolibrary.org/obo/GO_0060950	cardiac glial cell differentiation	http://purl.obolibrary.org/obo/CL_0010020	cardiac glial cell
http://purl.obolibrary.org/obo/GO_0055007	cardiac muscle cell differentiation	http://purl.obolibrary.org/obo/CL_0000746	cardiac muscle cell
http://purl.obolibrary.org/obo/GO_0060379	cardiac muscle cell myoblast differentiation	http://purl.obolibrary.org/obo/CL_0000513	cardiac muscle myoblast
http://purl.obolibrary.org/obo/GO_0060945	cardiac neuron differentiation	http://purl.obolibrary.org/obo/CL_0010022	cardiac neuron
http://purl.obolibrary.org/obo/GO_0060920	cardiac pacemaker cell differentiation	http://purl.obolibrary.org/obo/CL_0002072	nodal myocyte
