defined_class	defined_class_label	characteristic	characteristic_label
http://purl.obolibrary.org/obo/GO_0045852	pH elevation	http://purl.obolibrary.org/obo/PATO_0001842	acidity
http://purl.obolibrary.org/obo/GO_0090727	positive regulation of brood size	http://purl.obolibrary.org/obo/PATO_0000276	brood size
