defined_class	defined_class_label	imported	imported_label
http://purl.obolibrary.org/obo/GO_1904334	heme import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_30413	heme
http://purl.obolibrary.org/obo/GO_0140271	hexose import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_18133	hexose
http://purl.obolibrary.org/obo/GO_0098658	inorganic anion import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_24834	inorganic anion
http://purl.obolibrary.org/obo/GO_0098659	inorganic cation import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_36915	inorganic cation
http://purl.obolibrary.org/obo/GO_0099587	inorganic ion import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_36914	inorganic ion
http://purl.obolibrary.org/obo/GO_0098711	iron ion import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_24875	iron cation
http://purl.obolibrary.org/obo/GO_0098713	leucine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_25017	leucine
http://purl.obolibrary.org/obo/GO_0015911	long-chain fatty acid import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_15904	long-chain fatty acid
http://purl.obolibrary.org/obo/GO_0098714	malate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_15595	malate(2-)
http://purl.obolibrary.org/obo/GO_0098715	malonic acid import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_15792	malonate(2-)
http://purl.obolibrary.org/obo/GO_0106081	maltose import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17306	maltose
http://purl.obolibrary.org/obo/GO_1903692	methionine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_64558	methionine zwitterion
http://purl.obolibrary.org/obo/GO_1904679	myo-inositol import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17268	myo-inositol
http://purl.obolibrary.org/obo/GO_0098716	nickel cation import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_25516	nickel cation
http://purl.obolibrary.org/obo/GO_0140205	oligopeptide import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_25676	oligopeptide
http://purl.obolibrary.org/obo/GO_0098717	pantothenate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16454	pantothenate
http://purl.obolibrary.org/obo/GO_0140202	polyamine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_88061	polyamine
http://purl.obolibrary.org/obo/GO_1990573	potassium ion import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_29103	potassium(1+)
http://purl.obolibrary.org/obo/GO_1905647	proline import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_26271	proline
http://purl.obolibrary.org/obo/GO_0140204	pyridoxal import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17310	pyridoxal
http://purl.obolibrary.org/obo/GO_1903075	pyridoxine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16709	pyridoxine
http://purl.obolibrary.org/obo/GO_0098718	serine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_35243	serine zwitterion
http://purl.obolibrary.org/obo/GO_0015708	silicic acid import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_26675	silicic acid
http://purl.obolibrary.org/obo/GO_0098719	sodium ion import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_29101	sodium(1+)
http://purl.obolibrary.org/obo/GO_1903258	sorbose import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_27922	sorbose
http://purl.obolibrary.org/obo/GO_0140203	spermidine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_57834	spermidine(3+)
http://purl.obolibrary.org/obo/GO_0098720	succinate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_30031	succinate(2-)
http://purl.obolibrary.org/obo/GO_0106082	sucrose import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17992	sucrose
http://purl.obolibrary.org/obo/GO_1902434	sulfate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16189	sulfate
http://purl.obolibrary.org/obo/GO_1901583	tetrapeptide import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_48030	tetrapeptide
http://purl.obolibrary.org/obo/GO_0140125	thiamine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_26948	vitamin B1
http://purl.obolibrary.org/obo/GO_0140207	tripeptide import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_47923	tripeptide
http://purl.obolibrary.org/obo/GO_0098721	uracil import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17568	uracil
http://purl.obolibrary.org/obo/GO_0140201	urea import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16199	urea
http://purl.obolibrary.org/obo/GO_0071578	zinc ion import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_29105	zinc(2+)
