defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0006018	2-deoxyribose 1-phosphate catabolic process	http://purl.obolibrary.org/obo/CHEBI_19564	2-deoxyribose 1-phosphate
http://purl.obolibrary.org/obo/GO_1901743	2-deoxystreptamine catabolic process	http://purl.obolibrary.org/obo/CHEBI_65069	2-deoxystreptamine(2+)
http://purl.obolibrary.org/obo/GO_1901886	2-hydroxybenzoyl-CoA catabolic process	http://purl.obolibrary.org/obo/CHEBI_67148	2-hydroxybenzoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_1902193	2-methylbut-2-enoyl-CoA(4-) catabolic process	http://purl.obolibrary.org/obo/CHEBI_57260	2-methylbut-2-enoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_1902190	2-methylbutanoyl-CoA(4-) catabolic process	http://purl.obolibrary.org/obo/CHEBI_57336	2-methylbutanoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0046304	2-nitropropane catabolic process	http://purl.obolibrary.org/obo/CHEBI_16037	2-nitropropane
http://purl.obolibrary.org/obo/GO_0019606	2-oxobutyrate catabolic process	http://purl.obolibrary.org/obo/CHEBI_16763	2-oxobutanoate
http://purl.obolibrary.org/obo/GO_0019619	3,4-dihydroxybenzoate catabolic process	http://purl.obolibrary.org/obo/CHEBI_36241	3,4-dihydroxybenzoate
http://purl.obolibrary.org/obo/GO_1901791	3-(2,3-dihydroxyphenyl)propanoate catabolic process	http://purl.obolibrary.org/obo/CHEBI_46951	3-(2,3-dihydroxyphenyl)propanoate
http://purl.obolibrary.org/obo/GO_0019622	3-(3-hydroxy)phenylpropionate catabolic process	http://purl.obolibrary.org/obo/CHEBI_63469	3-hydroxy-3-phenylpropionate
http://purl.obolibrary.org/obo/GO_1901794	3-(3-hydroxyphenyl)propanoate catabolic process	http://purl.obolibrary.org/obo/CHEBI_57277	3-(3-hydroxyphenyl)propanoate
http://purl.obolibrary.org/obo/GO_1901168	3-chlorocatechol catabolic process	http://purl.obolibrary.org/obo/CHEBI_27715	3-chlorocatechol
http://purl.obolibrary.org/obo/GO_1903559	3-cyano-L-alanine catabolic process	http://purl.obolibrary.org/obo/CHEBI_77860	3-cyano-L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0019610	3-hydroxyphenylacetate catabolic process	http://purl.obolibrary.org/obo/CHEBI_58149	3-hydroxyphenylacetate
http://purl.obolibrary.org/obo/GO_1902199	3-methylbut-2-enoyl-CoA(4-) catabolic process	http://purl.obolibrary.org/obo/CHEBI_57344	3-methylbut-2-enoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0019335	3-methylquinoline catabolic process	http://purl.obolibrary.org/obo/CHEBI_20140	3-methylquinoline
http://purl.obolibrary.org/obo/GO_0019380	3-phenylpropionate catabolic process	http://purl.obolibrary.org/obo/CHEBI_51057	3-phenylpropionate
http://purl.obolibrary.org/obo/GO_1901883	4-hydroxycoumarin catabolic process	http://purl.obolibrary.org/obo/CHEBI_77858	4-hydroxycoumarin(1-)
