defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0019361	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_61378	2'-(5-triphosphoribosyl)-3'-dephospho-CoA(6-)
http://purl.obolibrary.org/obo/GO_0009265	2'-deoxyribonucleotide biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_19260	2'-deoxyribonucleotide
http://purl.obolibrary.org/obo/GO_1901274	2-dehydro-3-deoxy-D-gluconic acid biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57990	2-dehydro-3-deoxy-D-gluconate
http://purl.obolibrary.org/obo/GO_0006016	2-deoxyribose 1-phosphate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_19564	2-deoxyribose 1-phosphate
http://purl.obolibrary.org/obo/GO_1901744	2-deoxystreptamine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_65069	2-deoxystreptamine(2+)
http://purl.obolibrary.org/obo/GO_0080035	2-hydroxy-but-3-enyl glucosinolate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_8454	progoitrin(1-)
http://purl.obolibrary.org/obo/GO_1901887	2-hydroxybenzoyl-CoA biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_67148	2-hydroxybenzoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_1902194	2-methylbut-2-enoyl-CoA(4-) biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57260	2-methylbut-2-enoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_1902191	2-methylbutanoyl-CoA(4-) biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57336	2-methylbutanoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0046360	2-oxobutyrate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_16763	2-oxobutanoate
http://purl.obolibrary.org/obo/GO_0052653	3',5'-cyclic diguanylic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_58805	c-di-GMP(2-)
http://purl.obolibrary.org/obo/GO_0050428	3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58339	3'-phosphonato-5'-adenylyl sulfate(4-)
http://purl.obolibrary.org/obo/GO_0046279	3,4-dihydroxybenzoate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_36241	3,4-dihydroxybenzoate
http://purl.obolibrary.org/obo/GO_1901792	3-(2,3-dihydroxyphenyl)propanoate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_46951	3-(2,3-dihydroxyphenyl)propanoate
http://purl.obolibrary.org/obo/GO_1901795	3-(3-hydroxyphenyl)propanoate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57277	3-(3-hydroxyphenyl)propanoate
http://purl.obolibrary.org/obo/GO_1901169	3-chlorocatechol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_27715	3-chlorocatechol
http://purl.obolibrary.org/obo/GO_1903560	3-cyano-L-alanine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_77860	3-cyano-L-alanine zwitterion
