defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0080179	1-methylguanosine metabolic process	http://purl.obolibrary.org/obo/CHEBI_19062	1-methylguanosine
http://purl.obolibrary.org/obo/GO_1903100	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_57923	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)
http://purl.obolibrary.org/obo/GO_1902633	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_58456	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate(5-)
http://purl.obolibrary.org/obo/GO_1902820	1-undecene metabolic process	http://purl.obolibrary.org/obo/CHEBI_77444	1-undecene
http://purl.obolibrary.org/obo/GO_0009256	10-formyltetrahydrofolate metabolic process	http://purl.obolibrary.org/obo/CHEBI_57454	10-formyltetrahydrofolate(2-)
http://purl.obolibrary.org/obo/GO_1902381	11-oxo-beta-amyrin metabolic process	http://purl.obolibrary.org/obo/CHEBI_63184	11-oxo-beta-amyrin
http://purl.obolibrary.org/obo/GO_1900882	17-methylnonadec-1-ene metabolic process	http://purl.obolibrary.org/obo/CHEBI_64508	17-methylnonadec-1-ene
http://purl.obolibrary.org/obo/GO_1900880	18-methylnonadec-1-ene metabolic process	http://purl.obolibrary.org/obo/CHEBI_64507	18-methylnonadec-1-ene
http://purl.obolibrary.org/obo/GO_0046432	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA metabolic process	http://purl.obolibrary.org/obo/CHEBI_61378	2'-(5-triphosphoribosyl)-3'-dephospho-CoA(6-)
http://purl.obolibrary.org/obo/GO_0009394	2'-deoxyribonucleotide metabolic process	http://purl.obolibrary.org/obo/CHEBI_19260	2'-deoxyribonucleotide
http://purl.obolibrary.org/obo/GO_0018980	2,4,5-trichlorophenoxyacetic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_19331	(2,4,5-trichlorophenoxy)acetate
http://purl.obolibrary.org/obo/GO_0018974	2,4,6-trinitrotoluene metabolic process	http://purl.obolibrary.org/obo/CHEBI_46053	2,4,6-trinitrotoluene
http://purl.obolibrary.org/obo/GO_0018898	2,4-dichlorobenzoate metabolic process	http://purl.obolibrary.org/obo/CHEBI_28995	2,4-dichlorobenzoate
http://purl.obolibrary.org/obo/GO_0018901	2,4-dichlorophenoxyacetic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_19351	(2,4-dichlorophenoxy)acetate
http://purl.obolibrary.org/obo/GO_0051165	2,5-dihydroxypyridine metabolic process	http://purl.obolibrary.org/obo/CHEBI_16364	pyridine-2,5-diol
http://purl.obolibrary.org/obo/GO_0018868	2-aminobenzenesulfonate metabolic process	http://purl.obolibrary.org/obo/CHEBI_15942	2-aminobenzenesulfonate
http://purl.obolibrary.org/obo/GO_0046433	2-aminoethylphosphonate metabolic process	http://purl.obolibrary.org/obo/CHEBI_57418	(2-aminoethyl)phosphonic acid zwitterion
http://purl.obolibrary.org/obo/GO_0018889	2-chloro-N-isopropylacetanilide metabolic process	http://purl.obolibrary.org/obo/CHEBI_19503	propachlor
http://purl.obolibrary.org/obo/GO_1901272	2-dehydro-3-deoxy-D-gluconic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_57990	2-dehydro-3-deoxy-D-gluconate
http://purl.obolibrary.org/obo/GO_0046384	2-deoxyribose 1-phosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_19564	2-deoxyribose 1-phosphate
http://purl.obolibrary.org/obo/GO_1901742	2-deoxystreptamine metabolic process	http://purl.obolibrary.org/obo/CHEBI_65069	2-deoxystreptamine(2+)
http://purl.obolibrary.org/obo/GO_1901885	2-hydroxybenzoyl-CoA metabolic process	http://purl.obolibrary.org/obo/CHEBI_67148	2-hydroxybenzoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_1902192	2-methylbut-2-enoyl-CoA(4-) metabolic process	http://purl.obolibrary.org/obo/CHEBI_57260	2-methylbut-2-enoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_1902189	2-methylbutanoyl-CoA(4-) metabolic process	http://purl.obolibrary.org/obo/CHEBI_57336	2-methylbutanoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0080180	2-methylguanosine metabolic process	http://purl.obolibrary.org/obo/CHEBI_19702	N(2)-methylguanosine
http://purl.obolibrary.org/obo/GO_0018938	2-nitropropane metabolic process	http://purl.obolibrary.org/obo/CHEBI_16037	2-nitropropane
http://purl.obolibrary.org/obo/GO_0046361	2-oxobutyrate metabolic process	http://purl.obolibrary.org/obo/CHEBI_16763	2-oxobutanoate
http://purl.obolibrary.org/obo/GO_0006103	2-oxoglutarate metabolic process	http://purl.obolibrary.org/obo/CHEBI_16810	2-oxoglutarate(2-)
http://purl.obolibrary.org/obo/GO_0050427	3'-phosphoadenosine 5'-phosphosulfate metabolic process	http://purl.obolibrary.org/obo/CHEBI_58339	3'-phosphonato-5'-adenylyl sulfate(4-)
http://purl.obolibrary.org/obo/GO_0046278	3,4-dihydroxybenzoate metabolic process	http://purl.obolibrary.org/obo/CHEBI_36241	3,4-dihydroxybenzoate
http://purl.obolibrary.org/obo/GO_1901790	3-(2,3-dihydroxyphenyl)propanoate metabolic process	http://purl.obolibrary.org/obo/CHEBI_46951	3-(2,3-dihydroxyphenyl)propanoate
http://purl.obolibrary.org/obo/GO_0046435	3-(3-hydroxy)phenylpropionate metabolic process	http://purl.obolibrary.org/obo/CHEBI_63469	3-hydroxy-3-phenylpropionate
http://purl.obolibrary.org/obo/GO_1901793	3-(3-hydroxyphenyl)propanoate metabolic process	http://purl.obolibrary.org/obo/CHEBI_57277	3-(3-hydroxyphenyl)propanoate
http://purl.obolibrary.org/obo/GO_0018888	3-chloroacrylic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_62074	3-chloroacrylate
http://purl.obolibrary.org/obo/GO_1901167	3-chlorocatechol metabolic process	http://purl.obolibrary.org/obo/CHEBI_27715	3-chlorocatechol
http://purl.obolibrary.org/obo/GO_1903558	3-cyano-L-alanine metabolic process	http://purl.obolibrary.org/obo/CHEBI_77860	3-cyano-L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0018921	3-hydroxybenzyl alcohol metabolic process	http://purl.obolibrary.org/obo/CHEBI_17069	3-hydroxybenzyl alcohol
http://purl.obolibrary.org/obo/GO_0019609	3-hydroxyphenylacetate metabolic process	http://purl.obolibrary.org/obo/CHEBI_58149	3-hydroxyphenylacetate
http://purl.obolibrary.org/obo/GO_0006666	3-keto-sphinganine metabolic process	http://purl.obolibrary.org/obo/CHEBI_46966	2-amino-1-hydroxyoctadecan-3-one
http://purl.obolibrary.org/obo/GO_1902198	3-methylbut-2-enoyl-CoA(4-) metabolic process	http://purl.obolibrary.org/obo/CHEBI_57344	3-methylbut-2-enoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0018930	3-methylquinoline metabolic process	http://purl.obolibrary.org/obo/CHEBI_20140	3-methylquinoline
http://purl.obolibrary.org/obo/GO_0018962	3-phenylpropionate metabolic process	http://purl.obolibrary.org/obo/CHEBI_51057	3-phenylpropionate
http://purl.obolibrary.org/obo/GO_0036107	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_58711	4-azaniumyl-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate
http://purl.obolibrary.org/obo/GO_0018887	4-carboxy-4'-sulfoazobenzene metabolic process	http://purl.obolibrary.org/obo/CHEBI_63476	4-carboxylato-4'-sulfonatoazobenzene
http://purl.obolibrary.org/obo/GO_0018880	4-chlorobiphenyl metabolic process	http://purl.obolibrary.org/obo/CHEBI_27757	4-chlorobiphenyl
http://purl.obolibrary.org/obo/GO_1901882	4-hydroxycoumarin metabolic process	http://purl.obolibrary.org/obo/CHEBI_77858	4-hydroxycoumarin(1-)
http://purl.obolibrary.org/obo/GO_1901022	4-hydroxyphenylacetate metabolic process	http://purl.obolibrary.org/obo/CHEBI_48999	4-hydroxyphenylacetate
http://purl.obolibrary.org/obo/GO_0019471	4-hydroxyproline metabolic process	http://purl.obolibrary.org/obo/CHEBI_63137	4-hydroxyproline zwitterion
http://purl.obolibrary.org/obo/GO_0018960	4-nitrophenol metabolic process	http://purl.obolibrary.org/obo/CHEBI_57917	4-nitrophenolate
http://purl.obolibrary.org/obo/GO_0019257	4-nitrotoluene metabolic process	http://purl.obolibrary.org/obo/CHEBI_35227	4-nitrotoluene
http://purl.obolibrary.org/obo/GO_0019611	4-toluenecarboxylate metabolic process	http://purl.obolibrary.org/obo/CHEBI_28856	p-toluate
http://purl.obolibrary.org/obo/GO_1901283	5,6,7,8-tetrahydromethanopterin metabolic process	http://purl.obolibrary.org/obo/CHEBI_58103	5,6,7,8-tetrahydromethanopterin(3-)
http://purl.obolibrary.org/obo/GO_1901853	5,6,7,8-tetrahydrosarcinapterin metabolic process	http://purl.obolibrary.org/obo/CHEBI_59924	5,6,7,8-tetrahydrosarcinapterin(4-)
http://purl.obolibrary.org/obo/GO_0019857	5-methylcytosine metabolic process	http://purl.obolibrary.org/obo/CHEBI_27551	5-methylcytosine
http://purl.obolibrary.org/obo/GO_0046391	5-phosphoribose 1-diphosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_58017	5-O-phosphonato-alpha-D-ribofuranosyl diphosphate(5-)
http://purl.obolibrary.org/obo/GO_1901947	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_58635	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate(3-)
http://purl.obolibrary.org/obo/GO_0051679	6-alpha-maltosylglucose metabolic process	http://purl.obolibrary.org/obo/CHEBI_28191	6-alpha-maltosylglucose
http://purl.obolibrary.org/obo/GO_0019638	6-hydroxycineole metabolic process	http://purl.obolibrary.org/obo/CHEBI_16271	2-exo-hydroxy-1,8-cineole
http://purl.obolibrary.org/obo/GO_1902776	6-sulfoquinovose(1-) metabolic process	http://purl.obolibrary.org/obo/CHEBI_77132	6-sulfo-D-quinovose(1-)
http://purl.obolibrary.org/obo/GO_1901850	7,8-didemethyl-8-hydroxy-5-deazariboflavin metabolic process	http://purl.obolibrary.org/obo/CHEBI_59904	7,8-didemethyl-8-hydroxy-5-deazariboflavin(1-)
http://purl.obolibrary.org/obo/GO_0097287	7-cyano-7-deazaguanine metabolic process	http://purl.obolibrary.org/obo/CHEBI_45075	7-cyano-7-deazaguanine
http://purl.obolibrary.org/obo/GO_0008618	7-methylguanosine metabolic process	http://purl.obolibrary.org/obo/CHEBI_20794	7-methylguanosine
http://purl.obolibrary.org/obo/GO_0042905	9-cis-retinoic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_78630	9-cis-retinoate
http://purl.obolibrary.org/obo/GO_0046031	ADP metabolic process	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)
http://purl.obolibrary.org/obo/GO_0097170	ADP-L-glycero-beta-D-manno-heptose metabolic process	http://purl.obolibrary.org/obo/CHEBI_61506	ADP-L-glycero-beta-D-manno-heptose(2-)
http://purl.obolibrary.org/obo/GO_0046033	AMP metabolic process	http://purl.obolibrary.org/obo/CHEBI_456215	adenosine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0046034	ATP metabolic process	http://purl.obolibrary.org/obo/CHEBI_30616	ATP(4-)
http://purl.obolibrary.org/obo/GO_0008207	C21-steroid hormone metabolic process	http://purl.obolibrary.org/obo/CHEBI_64600	C21-steroid hormone
http://purl.obolibrary.org/obo/GO_0046704	CDP metabolic process	http://purl.obolibrary.org/obo/CHEBI_58069	CDP(3-)
http://purl.obolibrary.org/obo/GO_0046341	CDP-diacylglycerol metabolic process	http://purl.obolibrary.org/obo/CHEBI_58332	CDP-diacylglycerol(2-)
http://purl.obolibrary.org/obo/GO_0046035	CMP metabolic process	http://purl.obolibrary.org/obo/CHEBI_60377	cytidine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0046381	CMP-N-acetylneuraminate metabolic process	http://purl.obolibrary.org/obo/CHEBI_57812	CMP-N-acetyl-beta-neuraminate(2-)
http://purl.obolibrary.org/obo/GO_0033467	CMP-keto-3-deoxy-D-manno-octulosonic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_59825	CMP-3-deoxy-alpha-D-manno-octulosonate(2-)
http://purl.obolibrary.org/obo/GO_0046036	CTP metabolic process	http://purl.obolibrary.org/obo/CHEBI_37563	CTP(4-)
http://purl.obolibrary.org/obo/GO_0046436	D-alanine metabolic process	http://purl.obolibrary.org/obo/CHEBI_57416	D-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0019314	D-allose metabolic process	http://purl.obolibrary.org/obo/CHEBI_17393	D-allose
http://purl.obolibrary.org/obo/GO_0046416	D-amino acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_59871	D-alpha-amino acid zwitterion
http://purl.obolibrary.org/obo/GO_0046372	D-arabinose metabolic process	http://purl.obolibrary.org/obo/CHEBI_17108	D-arabinose
