defined_class	defined_class_label	characteristic	characteristic_label
http://purl.obolibrary.org/obo/GO_0031647	regulation of protein stability	http://purl.obolibrary.org/obo/OBA_0000128	protein stability
http://purl.obolibrary.org/obo/GO_0044357	regulation of rRNA stability	http://purl.obolibrary.org/obo/OBA_0000129	rRNA stability
http://purl.obolibrary.org/obo/GO_0060075	regulation of resting membrane potential	http://purl.obolibrary.org/obo/OBA_0000134	resting membrane potential
http://purl.obolibrary.org/obo/GO_0048172	regulation of short-term neuronal synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000136	short-term neuronal synaptic plasticity
http://purl.obolibrary.org/obo/GO_0050803	regulation of synapse structure or activity	http://purl.obolibrary.org/obo/OBA_0000139	synapse structure and activity
http://purl.obolibrary.org/obo/GO_0031916	regulation of synaptic metaplasticity	http://purl.obolibrary.org/obo/OBA_0000140	synaptic metaplasticity
http://purl.obolibrary.org/obo/GO_0048167	regulation of synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000141	synaptic plasticity
http://purl.obolibrary.org/obo/GO_0003073	regulation of systemic arterial blood pressure	http://purl.obolibrary.org/obo/OBA_0000143	systemic arterial blood pressure
http://purl.obolibrary.org/obo/GO_0090067	regulation of thalamus size	http://purl.obolibrary.org/obo/OBA_0000160	thalamus size
http://purl.obolibrary.org/obo/GO_0002026	regulation of the force of heart contraction	http://purl.obolibrary.org/obo/OBA_0000161	force of heart contraction
http://purl.obolibrary.org/obo/GO_0014729	regulation of the velocity of shortening of skeletal muscle modulating contraction	http://purl.obolibrary.org/obo/OBA_0000164	velocity of shortening of skeletal muscle modulating contraction
http://purl.obolibrary.org/obo/GO_0006450	regulation of translational fidelity	http://purl.obolibrary.org/obo/OBA_0000169	translational accuracy
http://purl.obolibrary.org/obo/GO_0035296	regulation of tube diameter	http://purl.obolibrary.org/obo/OBA_0000171	tube diameter
http://purl.obolibrary.org/obo/GO_0035158	regulation of tube diameter, open tracheal system	http://purl.obolibrary.org/obo/OBA_0000166	tracheal tube diameter
http://purl.obolibrary.org/obo/GO_0035159	regulation of tube length, open tracheal system	http://purl.obolibrary.org/obo/OBA_0000167	tracheal tube length
http://purl.obolibrary.org/obo/GO_0035150	regulation of tube size	http://purl.obolibrary.org/obo/OBA_0000172	tube size
http://purl.obolibrary.org/obo/GO_0035809	regulation of urine volume	http://purl.obolibrary.org/obo/OBA_0000173	urinary volume
http://purl.obolibrary.org/obo/GO_0043114	regulation of vascular permeability	http://purl.obolibrary.org/obo/OBA_0000174	vascular permeability
http://purl.obolibrary.org/obo/GO_0097494	regulation of vesicle size	http://purl.obolibrary.org/obo/OBA_1000142	vesicle size
