defined_class	defined_class_label	cargo	cargo_label
http://purl.obolibrary.org/obo/GO_0015786	UDP-glucose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58367	UDP-D-glucose(2-)
http://purl.obolibrary.org/obo/GO_0015787	UDP-glucuronate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58052	UDP-alpha-D-glucuronate(3-)
http://purl.obolibrary.org/obo/GO_0015790	UDP-xylose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57632	UDP-alpha-D-xylose(2-)
http://purl.obolibrary.org/obo/GO_0035433	acetate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_30089	acetate
http://purl.obolibrary.org/obo/GO_0035348	acetyl-CoA transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57288	acetyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0071106	adenosine 3',5'-bisphosphate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_37240	adenosine 3',5'-bisphosphate
http://purl.obolibrary.org/obo/GO_0042869	aldarate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_22289	aldaric acid anion
http://purl.obolibrary.org/obo/GO_0042873	aldonate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_22299	aldonate
http://purl.obolibrary.org/obo/GO_0042918	alkanesulfonate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_134249	alkanesulfonate oxoanion
http://purl.obolibrary.org/obo/GO_1902602	aluminum ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_60272	aluminium ion
http://purl.obolibrary.org/obo/GO_0003333	amino acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_35238	amino-acid zwitterion
http://purl.obolibrary.org/obo/GO_0072488	ammonium transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_28938	ammonium
http://purl.obolibrary.org/obo/GO_0015699	antimonite transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_49870	antimonous acid
http://purl.obolibrary.org/obo/GO_0042899	arabinan transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_22590	arabinan
http://purl.obolibrary.org/obo/GO_0015792	arabinitol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_22605	arabinitol
http://purl.obolibrary.org/obo/GO_0015751	arabinose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_22599	arabinose
http://purl.obolibrary.org/obo/GO_1901684	arsenate ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_48597	arsenate(2-)
http://purl.obolibrary.org/obo/GO_1903713	asparagine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_22653	asparagine
http://purl.obolibrary.org/obo/GO_1905887	autoinducer AI-2 transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_44800	(2R,4S)-2-methyltetrahydrofuran-2,3,3,4-tetrol
http://purl.obolibrary.org/obo/GO_0045117	azole transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_68452	azole
http://purl.obolibrary.org/obo/GO_0015905	bicyclomycin transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_60584	bicozamycin
http://purl.obolibrary.org/obo/GO_0035445	borate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_33118	boric acid
http://purl.obolibrary.org/obo/GO_0070574	cadmium ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_48775	cadmium(2+)
http://purl.obolibrary.org/obo/GO_0070588	calcium ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29108	calcium(2+)
http://purl.obolibrary.org/obo/GO_0034219	carbohydrate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16646	carbohydrate
http://purl.obolibrary.org/obo/GO_0035378	carbon dioxide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16526	carbon dioxide
http://purl.obolibrary.org/obo/GO_1905039	carboxylic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29067	carboxylic acid anion
http://purl.obolibrary.org/obo/GO_1902603	carnitine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17126	carnitine
http://purl.obolibrary.org/obo/GO_0042892	chloramphenicol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17698	chloramphenicol
http://purl.obolibrary.org/obo/GO_1902476	chloride transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17996	chloride
http://purl.obolibrary.org/obo/GO_0035349	coenzyme A transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57287	coenzyme A(4-)
http://purl.obolibrary.org/obo/GO_0035434	copper ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_23378	copper cation
http://purl.obolibrary.org/obo/GO_0015881	creatine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57947	creatine zwitterion
http://purl.obolibrary.org/obo/GO_1903712	cysteine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_35237	cysteine zwitterion
http://purl.obolibrary.org/obo/GO_0035442	dipeptide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_46761	dipeptide
http://purl.obolibrary.org/obo/GO_0051470	ectoine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58515	ectoine zwitterion
http://purl.obolibrary.org/obo/GO_1902001	fatty acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_28868	fatty acid anion
http://purl.obolibrary.org/obo/GO_1903424	fluoride transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17051	fluoride
http://purl.obolibrary.org/obo/GO_0098838	folate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_62501	folate(2-)
http://purl.obolibrary.org/obo/GO_0015755	fructose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_28757	fructose
http://purl.obolibrary.org/obo/GO_0015756	fucose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_33984	fucose
http://purl.obolibrary.org/obo/GO_1902300	galactarate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_48871	galactaric acid anion
