CHEBI	CHEBI_PH7_3	ORIGIN
2437	2437	computation
2438	2438	computation
2439	2439	computation
2443	2443	computation
2450	2450	computation
2451	2451	computation
2453	2453	computation
2468	2468	computation
2469	134512	computation
2479	60487	computation
2480	2480	computation
2481	58502	computation
2483	58504	computation
2485	140726	computation
2490	18322	computation
2495	2495	computation
2501	2501	computation
2503	2503	computation
2504	2504	computation
2507	2507	computation
2508	2508	computation
2511	2511	computation
2513	2513	computation
2515	2515	computation
2519	65042	computation
2520	2520	computation
2521	2521	computation
2522	2522	computation
2524	142527	computation
2527	2527	computation
2528	2528	computation
2531	2531	computation
2533	2533	computation
2534	2534	computation
2537	2537	computation
2538	2538	computation
2540	2540	computation
2542	2542	computation
2543	2543	computation
2544	2544	computation
2552	2552	computation
2555	2555	computation
2560	2560	computation
2564	2564	computation
2565	2565	computation
2571	2571	computation
2575	2575	computation
2578	2578	computation
2579	2579	computation
2586	2586	computation
2590	2590	computation
2592	2592	computation
2596	132987	computation
2599	2599	computation
2600	2600	computation
2607	2607	computation
2610	2610	computation
2611	2611	computation
2612	142530	computation
2614	2614	computation
2615	2615	computation
2618	48320	computation
2619	48320	computation
2620	2620	computation
2622	2622	computation
2627	2627	computation
2628	2627	computation
2629	2629	computation
2630	2630	computation
2637	84739	computation
2638	84739	computation
2639	2639	computation
2640	2639	computation
2645	64554	computation
2653	2653	computation
2654	2654	computation
2659	28177	computation
2661	137598	computation
2672	2672	computation
2673	2673	computation
2674	131327	computation
2678	2678	computation
2686	2686	computation
2691	2691	computation
2698	2698	computation
2700	2700	computation
2701	2701	computation
2704	2704	computation
2710	2710	computation
2716	2716	computation
2718	147350	computation
2719	58506	computation
2721	2721	computation
2723	2723	computation
2725	2725	computation
2726	2726	computation
2727	2727	computation
2729	2729	computation
2730	2730	computation
2733	2733	computation
2734	2734	computation
2738	2738	computation
2745	2745	computation
2747	2747	computation
2748	2748	computation
2756	2756	computation
2760	2760	computation
2762	2762	computation
2765	2765	computation
2766	2766	computation
2769	2769	computation
2781	2781	computation
2785	2785	computation
2788	134252	computation
2789	134252	computation
2791	2791	computation
2795	2795	computation
2803	2803	computation
2804	2804	computation
2805	2805	computation
2807	60929	computation
2808	2808	computation
2809	2809	computation
2810	2810	computation
2811	2811	computation
2812	2812	computation
2815	2815	computation
2817	2817	computation
2819	2819	computation
2827	2827	computation
2828	2828	computation
2829	2829	computation
2848	2848	computation
2849	2849	computation
2850	2850	computation
2851	2851	computation
2852	2852	computation
2853	2853	computation
2856	2856	computation
2862	2862	computation
2864	2864	computation
2866	2866	computation
2870	2870	computation
2871	2871	computation
2872	2872	computation
2874	2874	computation
2880	2880	computation
2881	2881	computation
2882	2882	computation
2884	2884	computation
2897	2897	computation
2898	2898	computation
2899	2899	computation
2902	2902	computation
2903	2903	computation
2905	2905	computation
2906	2906	computation
2908	2908	computation
2911	50690	computation
2914	2914	computation
2915	2914	computation
2920	2920	computation
2921	2921	computation
2922	2922	computation
2929	2929	computation
2930	2930	computation
2932	2932	computation
2933	2933	computation
2936	2936	computation
2937	2937	computation
2938	2938	computation
2939	167464	computation
2942	2942	computation
2943	2943	computation
2948	2948	computation
2952	2952	computation
2953	2953	computation
2956	51863	computation
2959	2959	computation
2962	2962	computation
2971	2971	computation
2972	187893	computation
2979	78324	computation
2980	2980	computation
2981	61283	computation
2982	2982	computation
2983	2983	computation
2984	2984	computation
2985	2985	computation
2986	2986	computation
2987	2987	computation
2988	2988	computation
2989	2989	computation
2991	2991	computation
2994	2994	computation
2996	2996	computation
2997	2997	computation
2998	2998	computation
3000	3000	computation
3001	3001	computation
3002	3002	computation
3008	3008	computation
3013	3013	computation
3014	3014	computation
3015	3015	computation
3016	3016	computation
3024	3024	computation
3032	3032	computation
3040	3040	computation
3056	3056	computation
3057	3057	computation
3058	3058	computation
3065	3065	computation
3077	3077	computation
3078	68604	computation
3081	3081	computation
3084	3084	computation
3085	3084	computation
3086	3086	computation
3089	3089	computation
3093	3093	computation
3103	3103	computation
3104	3104	computation
3110	62414	computation
3125	3125	computation
3129	161936	computation
3141	3141	computation
3147	3147	computation
3151	3151	computation
3154	3154	computation
3155	3155	computation
3157	3157	computation
3158	3158	computation
3159	3159	computation
3163	3163	computation
3164	3164	computation
3165	132988	computation
3167	3167	computation
3168	3168	computation
3170	3170	computation
3172	3172	computation
3173	3172	computation
3176	3176	computation
3179	3179	computation
3181	3181	computation
3182	3181	computation
3185	3185	computation
3186	3186	computation
3188	3188	computation
3189	3189	computation
3190	3190	computation
3192	3192	computation
3197	3197	computation
3198	3198	computation
3199	3199	computation
3201	3201	computation
3202	3202	computation
3203	3203	computation
3204	3204	computation
3206	3206	computation
3207	3207	computation
3208	3208	computation
3211	134215	computation
3212	3212	computation
3214	3214	computation
3218	3218	computation
3221	3221	computation
3222	3222	computation
3223	132102	computation
3224	132102	computation
3228	3228	computation
3229	3228	computation
3230	3230	computation
3231	3231	computation
3232	3232	computation
3240	3240	computation
3241	3240	computation
3244	3244	computation
3245	3245	computation
3246	3246	computation
3247	3247	computation
3250	3250	computation
3253	3253	computation
3254	3254	computation
3259	3259	computation
3276	147307	computation
3291	3291	computation
3302	3302	computation
3303	3303	computation
3309	18391	computation
3310	30089	computation
3311	17544	computation
3312	29108	computation
3314	59200	computation
3318	3318	computation
3321	3321	computation
3327	3327	computation
3328	3328	computation
3330	3330	computation
3344	3344	computation
3347	149509	computation
3350	3350	computation
3352	3352	computation
3355	3355	computation
3356	3356	computation
3357	3357	computation
3359	67136	computation
3360	3360	computation
3362	3362	computation
3363	3363	computation
3365	3365	computation
3366	3366	computation
3369	3369	computation
3374	3374	computation
3375	3375	computation
3376	3376	computation
3378	3378	computation
3381	3381	computation
3387	3387	computation
3388	3388	computation
3390	3390	computation
3392	3392	computation
3393	51897	computation
3394	3394	computation
3404	59205	computation
3405	3405	computation
3413	3413	computation
3414	51906	computation
3419	3419	computation
3420	3420	computation
3423	3423	computation
3424	17126	computation
3425	3425	computation
3426	3426	computation
3427	3427	computation
3429	3429	computation
3430	3430	computation
3431	3431	computation
3432	3432	computation
3434	3434	computation
3437	61202	computation
3438	61202	computation
3440	3440	computation
3443	3443	computation
3445	3445	computation
3446	3446	computation
3447	3447	computation
3451	3451	computation
3452	3452	computation
3457	3457	computation
3460	3460	computation
3465	3465	computation
3469	142675	computation
3471	3471	computation
3472	3472	computation
3477	3477	computation
3480	53652	computation
3481	73088	computation
3483	53657	computation
3484	3484	computation
3488	3488	computation
3489	52439	computation
3490	52439	computation
3491	52441	computation
3492	52441	computation
3498	53670	computation
3499	59358	computation
3501	53655	computation
3502	3502	computation
3503	3503	computation
3505	3505	computation
3508	53676	computation
3509	53676	computation
3512	55498	computation
3514	53658	computation
3516	3516	computation
3519	3519	computation
3523	3523	computation
3524	3524	computation
3528	3528	computation
3531	3531	computation
3532	3532	computation
3536	3536	computation
3537	3537	computation
3542	50897	computation
3545	59217	computation
3556	146017	computation
3558	406059	computation
3559	406059	computation
3566	32914	computation
3567	39561	computation
3570	3570	computation
3572	3572	computation
3573	3573	computation
3574	3574	computation
3575	3575	computation
3576	72949	computation
3577	3577	computation
3578	3578	computation
3579	3579	computation
3580	3580	computation
3581	3581	computation
3595	3595	computation
3602	3602	computation
3605	3605	computation
3608	3608	computation
3611	3611	computation
3612	3611	computation
3619	3619	computation
3620	3620	computation
3624	3624	computation
3627	3627	computation
3628	3628	computation
3629	3629	computation
3638	149484	computation
3639	3639	computation
3640	3640	computation
3641	3641	computation
3642	3642	computation
3643	3643	computation
3648	3648	computation
3651	180503	computation
3654	3654	computation
3663	3663	computation
3668	30762	computation
3679	3679	computation
3681	3681	computation
3682	3682	computation
3684	3684	computation
3685	3685	computation
3686	3686	computation
3687	3687	computation
3688	3688	computation
3689	3689	computation
3690	3690	computation
3693	3693	computation
3695	3695	computation
3696	134514	computation
3699	3699	computation
3700	3700	computation
3701	3701	computation
3702	3702	computation
3706	3706	computation
3707	3707	computation
3711	3711	computation
3715	140728	computation
3718	3718	computation
